,timestamp,course,motivated_required,motivated_staycurrenttech,motivated_advancecareer,motivated_changecareer,motivated_developprofession,motivated_jobdisplacement,motivated_relocation,motivated_itcert,motivated_financial,motivated_enrichment,motivated_curiosity,participated_openhouse,participated_instantdecision,participated_oncampusinfo,participated_virtualinfo,participated_womenwhodare,participated_collegefair,experienced_compclass,experienced_compclub,experienced_compcompetition,experienced_compcampschool,experienced_compcampsummer,experienced_compclassap,experienced_compclassdual,experienced_familyfriendinfluence,experienced_familyfriendinfield,experienced_hsstaff,experienced_employerinfluence,heard_ccmwebsite,heard_billboard,heard_television,heard_radio,heard_socialmedia,heard_event,heard_familyfriend,heard_employer,heard_ccmstudent,heard_ccmalumni,heard_highschool,decision_cost,decision_convenience,decision_programs,decision_online,decision_referral,decision_faculty,decision_reputation,decision_scholarships,decision_transfer,decision_classsize,decision_opportunities,program,informed_hscounselor,informed_ccmwebsite,informed_ccmadmissions,informed_ccmcounselor,informed_employer,informed_other,gender,ethnicity,age
0,2020/07/08 10:30:22 AM EST,CMP 135 Computer Concepts with Applications,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,Yes,No,No,No,No,High Impact,High Impact,High Impact,High Impact,Some Impact,Some Impact,High Impact,No Impact,No Impact,No Impact,No Impact,Criminal Justice,No,Yes,No,No,No,No,Woman,White/Caucasian,35-64
1,2020/07/08 11:15:08 AM EST,CMP 135 Computer Concepts with Applications,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No,No,Yes,No Impact,High Impact,High Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Radiography,No,No,Yes,No,No,No,Woman,White/Caucasian,21-24
2,2020/07/08 11:22:23 AM EST,CMP 135 Computer Concepts with Applications,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,No Impact,High Impact,Yes,No,No,No,No,No,Yes,No,Yes,No,Yes,Some Impact,High Impact,Some Impact,Some Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,Computer Science,No,Yes,No,No,No,No,Man,Multi-Racial,25-34
3,2020/07/08 2:14:53 PM EST,CMP 135 Computer Concepts with Applications,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,Criminal Justice,No,No,No,No,No,No,Woman,White/Caucasian,21-24
4,2020/07/08 3:34:11 PM EST,CMP 135 Computer Concepts with Applications,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,No,No,Yes,No,Yes,Some Impact,No Impact,Some Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Radiography,No,No,No,No,No,Yes,Man,Hispanic or Latino,25-34
5,2020/07/09 1:38:32 PM EST,CMP 135 Computer Concepts with Applications,No,Yes,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,Some Impact,Some Impact,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,High Impact,High Impact,High Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,No Impact,Some Impact,Some Impact,Exercise Science,No,Yes,Yes,Don't recall,No,No,Man,Choose not to reply,19-20
6,2020/07/11 9:34:30 PM EST,CMP 135 Computer Concepts with Applications,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,Yes,No,No,Yes,Yes,High Impact,High Impact,High Impact,Some Impact,High Impact,Some Impact,High Impact,No Impact,No Impact,No Impact,No Impact,Criminal Justice,No,No,No,Yes,No,No,Woman,White/Caucasian,19-20
7,2020/07/17 11:41:59 AM EST,CMP 135 Computer Concepts with Applications,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,Yes,No,No,No,Yes,High Impact,Some Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,Radiography,Don't recall,Don't recall,Yes,Don't recall,Don't recall,Don't recall,Woman,White/Caucasian,19-20
8,2020/07/20 10:38:05 AM EST,CMP 135 Computer Concepts with Applications,No,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,High Impact,No Impact,No Impact,Yes,No,No,No,No,No,Yes,No,No,Yes,Yes,High Impact,High Impact,No Impact,No Impact,High Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,Some Impact,Mathematics,No,No,No,Yes,No,No,Man,Multi-Racial,19-20
9,2020/07/21 4:32:09 PM EST,CMP 135 Computer Concepts with Applications,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,Some Impact,No,Yes,No,No,No,No,Yes,No,No,No,No,High Impact,High Impact,High Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,Public Health,No,Yes,No,No,No,No,Woman,White/Caucasian,35-64
